№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
1,27.09.2021понедельник,12.2,13.5,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
2,27.09.2021понедельник,14.3,16.0,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
3,28.09.2021вторник,9.0,10.3,лекция,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,268 (II),доц. Патрикеев Александр Владимирович
4,28.09.2021вторник,10.4,12.1,лекция,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,268 (II),доц. Патрикеев Александр Владимирович
5,28.09.2021вторник,12.2,13.5,лекция,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,372 (II),доц. Ольховая Людмила Ивановна
6,28.09.2021вторник,14.3,16.0,лекция,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,372 (II),доц. Ольховая Людмила Ивановна
7,29.09.2021среда,9.0,10.3,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,512 (I),доц. Чистый Юрий Антонович
8,29.09.2021среда,10.4,12.1,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,512 (I),доц. Чистый Юрий Антонович
9,29.09.2021среда,12.2,13.5,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,521 (I),доц. Патрикеев Александр Владимирович
10,29.09.2021среда,14.3,16.0,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,521 (I),доц. Патрикеев Александр Владимирович
11,30.09.2021четверг,9.0,10.3,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,266 (II),доц. Патрикеев Александр Владимирович
12,30.09.2021четверг,10.4,12.1,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,266 (II),доц. Патрикеев Александр Владимирович
13,30.09.2021четверг,12.2,13.5,лекция,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,535 (I),доц. Привалов Игорь Терентьевич
14,30.09.2021четверг,14.3,16.0,лекция,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,535 (I),доц. Привалов Игорь Терентьевич
15,01.10.2021пятница,9.0,10.3,лекция,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
16,01.10.2021пятница,10.4,12.1,лекция,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
17,01.10.2021пятница,12.2,13.5,лекция,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
18,01.10.2021пятница,14.3,16.0,прак. занятие,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
19,02.10.2021суббота,9.0,10.3,лекция,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,268 (II),доц. Салатов Евгений Константинович
20,02.10.2021суббота,10.4,12.1,лекция,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,268 (II),доц. Салатов Евгений Константинович
21,02.10.2021суббота,12.2,13.5,лекция,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,268 (II),доц. Салатов Евгений Константинович
22,02.10.2021суббота,14.3,16.0,прак. занятие,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,268 (II),доц. Салатов Евгений Константинович
23,04.10.2021понедельник,9.0,10.3,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,372 (II),доц. Чистый Юрий Антонович
24,04.10.2021понедельник,10.4,12.1,прак. занятие,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,372 (II),доц. Чистый Юрий Антонович
25,04.10.2021понедельник,12.2,13.5,лекция,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,266 (II),доц. Ольховая Людмила Ивановна
26,04.10.2021понедельник,14.3,16.0,лекция,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,266 (II),доц. Ольховая Людмила Ивановна
27,05.10.2021вторник,9.0,10.3,прак. занятие,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,536 (I),доц. Патрикеев Александр Владимирович
28,05.10.2021вторник,10.4,12.1,прак. занятие,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,536 (I),доц. Патрикеев Александр Владимирович
29,05.10.2021вторник,12.2,13.5,прак. занятие,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,268 (II),доц. Ольховая Людмила Ивановна
30,05.10.2021вторник,14.3,16.0,прак. занятие,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,268 (II),доц. Ольховая Людмила Ивановна
31,06.10.2021среда,9.0,10.3,лекция,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,369 (II),доц. Привалов Игорь Терентьевич
32,06.10.2021среда,10.4,12.1,прак. занятие,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,369 (II),доц. Привалов Игорь Терентьевич
33,06.10.2021среда,12.2,13.5,прак. занятие,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,369 (II),доц. Ольховая Людмила Ивановна
34,06.10.2021среда,14.3,16.0,прак. занятие,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,369 (II),доц. Ольховая Людмила Ивановна
35,07.10.2021четверг,9.0,10.3,прак. занятие,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,369 (II),доц. Чистый Юрий Антонович
36,07.10.2021четверг,10.4,12.1,прак. занятие,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,369 (II),доц. Чистый Юрий Антонович
37,07.10.2021четверг,12.2,13.5,прак. занятие,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,369 (II),доц. Чистый Юрий Антонович
38,07.10.2021четверг,14.3,16.0,прак. занятие,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,369 (II),доц. Привалов Игорь Терентьевич
39,07.10.2021четверг,16.1,17.4,прак. занятие,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,369 (II),доц. Привалов Игорь Терентьевич
40,08.10.2021пятница,9.0,10.3,прак. занятие,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,266 (II),доц. Чистый Юрий Антонович
41,08.10.2021пятница,10.4,12.1,прак. занятие,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,266 (II),доц. Чистый Юрий Антонович
42,08.10.2021пятница,12.2,13.5,лекция,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,266 (II),доц. Салатов Евгений Константинович
43,08.10.2021пятница,14.3,16.0,прак. занятие,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,266 (II),доц. Салатов Евгений Константинович
44,08.10.2021пятница,16.1,17.4,прак. занятие,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,266 (II),доц. Салатов Евгений Константинович
45,10.01.2022понедельник,10.4,12.1,лекция,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
46,10.01.2022понедельник,12.2,13.5,лекция,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
47,10.01.2022понедельник,14.3,16.0,лекция,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
48,10.01.2022понедельник,16.1,16.55,консультация,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,269 (II),доц. Салатов Евгений Константинович
49,11.01.2022вторник,9.0,10.3,лекция,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,269 (II),доц. Чистый Юрий Антонович
50,11.01.2022вторник,10.4,12.1,прак. занятие,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,269 (II),доц. Чистый Юрий Антонович
51,11.01.2022вторник,12.2,13.5,лекция,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
52,11.01.2022вторник,14.3,16.0,лекция,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
53,11.01.2022вторник,16.1,17.4,прак. занятие,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
54,12.01.2022среда,9.0,10.3,прак. занятие,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
55,12.01.2022среда,10.4,12.1,прак. занятие,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
56,12.01.2022среда,12.2,13.5,прак. занятие,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,269 (II),доц. Патрикеев Александр Владимирович
57,12.01.2022среда,14.3,16.0,экзамен,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,269 (II),доц. Салатов Евгений Константинович
58,12.01.2022среда,16.1,17.4,экзамен,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,269 (II),доц. Салатов Евгений Константинович
59,13.01.2022четверг,9.0,10.3,выд. зад.,ЗСП-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,22,269 (II),доц. Салатов Евгений Константинович
60,13.01.2022четверг,10.4,12.1,диф. зачет,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,269 (II),доц. Патрикеев Александр Владимирович
61,13.01.2022четверг,12.2,13.5,диф. зачет,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,269 (II),доц. Патрикеев Александр Владимирович
62,14.01.2022пятница,9.0,10.3,выд. зад.,ЗСП-2911,,Научно-исследовательская работа,22,269 (II),доц. Сычева Анна Вячеславовна
63,14.01.2022пятница,10.4,12.1,защита кур. р.,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,269 (II),доц. Патрикеев Александр Владимирович
64,14.01.2022пятница,12.2,13.5,защита кур. р.,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,269 (II),доц. Патрикеев Александр Владимирович
65,14.01.2022пятница,14.3,16.0,диф. зачет,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,269 (II),доц. Патрикеев Александр Владимирович
66,14.01.2022пятница,16.1,17.4,диф. зачет,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,269 (II),доц. Патрикеев Александр Владимирович
67,04.04.2022понедельник,10.4,12.1,диф. зачет,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,266 (II),доц. Чистый Юрий Антонович
68,04.04.2022понедельник,12.2,13.5,диф. зачет,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,266 (II),доц. Чистый Юрий Антонович
69,04.04.2022понедельник,14.3,16.0,лекция,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
70,04.04.2022понедельник,16.1,17.4,лекция,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
71,05.04.2022вторник,14.3,16.0,лекция,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
72,05.04.2022вторник,16.1,17.4,прак. занятие,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
73,06.04.2022среда,14.3,16.0,прак. занятие,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
74,06.04.2022среда,16.1,17.4,прак. занятие,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
75,07.04.2022четверг,9.0,10.3,защита кур. р.,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,274А (II),доц. Патрикеев Александр Владимирович
76,07.04.2022четверг,10.4,12.1,защита кур. р.,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,274А (II),доц. Патрикеев Александр Владимирович
77,07.04.2022четверг,12.2,13.5,защита кур. р.,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,274А (II),доц. Патрикеев Александр Владимирович
78,08.04.2022пятница,9.0,10.3,диф. зачет,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,274А (II),доц. Патрикеев Александр Владимирович
79,08.04.2022пятница,10.4,12.1,диф. зачет,ЗСП-2911,,Реконструкция и техническая эксплуатация зданий и сооружений на транспорте,22,274А (II),доц. Патрикеев Александр Владимирович
80,11.04.2022понедельник,9.0,9.45,консультация,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
81,11.04.2022понедельник,9.5,10.3,защита к. пр.,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
82,11.04.2022понедельник,10.4,12.1,защита к. пр.,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
83,11.04.2022понедельник,12.2,13.5,защита к. пр.,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
84,12.04.2022вторник,9.0,10.3,экзамен,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
85,12.04.2022вторник,10.4,12.1,экзамен,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
86,12.04.2022вторник,12.2,13.5,диф. зачет,ЗСП-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,22,274А (II),доц. Салатов Евгений Константинович
87,12.04.2022вторник,14.3,16.0,диф. зачет,ЗСП-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,22,274А (II),доц. Салатов Евгений Константинович
88,13.04.2022среда,9.0,10.3,защита кур. р.,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,266 (II),доц. Ольховая Людмила Ивановна
89,13.04.2022среда,10.4,12.1,защита кур. р.,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,266 (II),доц. Ольховая Людмила Ивановна
90,13.04.2022среда,12.2,13.5,защита кур. р.,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,266 (II),доц. Ольховая Людмила Ивановна
91,13.04.2022среда,14.3,16.0,зачет,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
92,13.04.2022среда,16.1,17.4,зачет,ЗСП-2911,,"Экономические основы возведения зданий, сооружений и управления строительством",22,266 (II),доц. Волков Роман Вячеславович
93,14.04.2022четверг,9.0,10.3,диф. зачет,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,266 (II),доц. Ольховая Людмила Ивановна
94,14.04.2022четверг,10.4,12.1,диф. зачет,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,266 (II),доц. Ольховая Людмила Ивановна
1,21.09.2021вторник,12.2,13.5,выд. зад.,ЗСП-3911,,Научно-исследовательская работа,20,274А (II),доц. Сычева Анна Вячеславовна
2,18.11.2021четверг,10.4,12.1,"диф. зачет, вебинар Teams",ЗСП-3911,,Научно-исследовательская работа,20,,доц. Сычева Анна Вячеславовна
3,18.11.2021четверг,12.2,13.5,"диф. зачет, вебинар Teams",ЗСП-3911,,Научно-исследовательская работа,20,,доц. Сычева Анна Вячеславовна
4,18.11.2021четверг,14.3,16.0,"выд. зад., вебинар Teams",ЗСП-3911,,Преддипломная практика,20,,доц. Чистый Юрий Антонович
5,23.12.2021четверг,10.4,12.1,диф. зачет,ЗСП-3911,,Преддипломная практика,20,266 (II),доц. Чистый Юрий Антонович
6,23.12.2021четверг,12.2,13.5,диф. зачет,ЗСП-3911,,Преддипломная практика,20,266 (II),доц. Чистый Юрий Антонович
Нет ничего,Нет ничего,Нет ничего,Нет ничего,Нет ничего,Нет ничего,Нет ничего,Нет ничего,Нет ничего,Нет ничего,Нет ничего
1,27.09.2021понедельник,10.4,12.1,лекция,ЗСУ-2911,,Особенности работы бесстыкового пути,7,174 (II),доц. Королев Вадим Вадимович
2,27.09.2021понедельник,12.2,13.5,лекция,ЗСУ-2911,,Особенности работы бесстыкового пути,7,174 (II),доц. Королев Вадим Вадимович
3,27.09.2021понедельник,14.3,16.0,лекция,ЗСУ-2911,,Особенности работы бесстыкового пути,7,174 (II),доц. Королев Вадим Вадимович
4,28.09.2021вторник,9.0,10.3,лекция,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,174 (II),доц. Фазилова Зульфия Тельмановна
5,28.09.2021вторник,10.4,12.1,лекция,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,174 (II),доц. Фазилова Зульфия Тельмановна
6,28.09.2021вторник,12.2,13.5,лекция,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,174 (II),доц. Фазилова Зульфия Тельмановна
7,28.09.2021вторник,14.3,16.0,лекция,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,174 (II),доц. Фазилова Зульфия Тельмановна
8,29.09.2021среда,9.0,10.3,лекция,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,175 (II),проф. Сычев Вячеслав Петрович
9,29.09.2021среда,10.4,12.1,лекция,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,175 (II),проф. Сычев Вячеслав Петрович
10,29.09.2021среда,12.2,13.5,прак. занятие,ЗСУ-2911,,Особенности работы бесстыкового пути,7,175 (II),проф. Глюзберг Борис Эйнихович
11,29.09.2021среда,14.3,16.0,прак. занятие,ЗСУ-2911,,Особенности работы бесстыкового пути,7,175 (II),проф. Глюзберг Борис Эйнихович
12,29.09.2021среда,16.1,17.4,прак. занятие,ЗСУ-2911,,Особенности работы бесстыкового пути,7,175 (II),проф. Глюзберг Борис Эйнихович
13,30.09.2021четверг,9.0,10.3,лекция,ЗСУ-2911,,Стрелочные переводы,7,175 (II),доц. Королев Вадим Вадимович
14,30.09.2021четверг,10.4,12.1,лекция,ЗСУ-2911,,Стрелочные переводы,7,175 (II),доц. Королев Вадим Вадимович
15,30.09.2021четверг,12.2,13.5,лекция,ЗСУ-2911,,Стрелочные переводы,7,175 (II),доц. Королев Вадим Вадимович
16,30.09.2021четверг,14.3,16.0,лекция,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,175 (II),проф. Сычев Вячеслав Петрович
17,30.09.2021четверг,16.1,17.4,прак. занятие,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,175 (II),проф. Сычев Вячеслав Петрович
18,01.10.2021пятница,9.0,10.3,лекция,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,175 (II),доц. Фазилова Зульфия Тельмановна
19,01.10.2021пятница,10.4,12.1,лекция,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,175 (II),доц. Фазилова Зульфия Тельмановна
20,01.10.2021пятница,12.2,13.5,прак. занятие,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,175 (II),доц. Фазилова Зульфия Тельмановна
21,01.10.2021пятница,14.3,16.0,прак. занятие,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,175 (II),доц. Фазилова Зульфия Тельмановна
22,02.10.2021суббота,9.0,10.3,прак. занятие,ЗСУ-2911,,Стрелочные переводы,7,175 (II),проф. Глюзберг Борис Эйнихович
23,02.10.2021суббота,10.4,12.1,прак. занятие,ЗСУ-2911,,Стрелочные переводы,7,175 (II),проф. Глюзберг Борис Эйнихович
24,02.10.2021суббота,12.2,13.5,прак. занятие,ЗСУ-2911,,Стрелочные переводы,7,175 (II),проф. Глюзберг Борис Эйнихович
25,04.10.2021понедельник,9.0,10.3,лекция,ЗСУ-2911,,Строительство высокоскоростных линий,7,174 (II),доц. Королев Вадим Вадимович
26,04.10.2021понедельник,10.4,12.1,лекция,ЗСУ-2911,,Строительство высокоскоростных линий,7,174 (II),доц. Королев Вадим Вадимович
27,04.10.2021понедельник,12.2,13.5,лекция,ЗСУ-2911,,Строительство высокоскоростных линий,7,174 (II),доц. Королев Вадим Вадимович
28,04.10.2021понедельник,14.3,16.0,прак. занятие,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,174 (II),проф. Сычев Вячеслав Петрович
29,04.10.2021понедельник,16.1,17.4,прак. занятие,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,174 (II),проф. Сычев Вячеслав Петрович
30,05.10.2021вторник,9.0,10.3,лекция,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,170 (II),доц. Федосова Анастасия Николаевна
31,05.10.2021вторник,10.4,12.1,лекция,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,170 (II),доц. Федосова Анастасия Николаевна
32,05.10.2021вторник,12.2,13.5,лекция,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,170 (II),доц. Федосова Анастасия Николаевна
33,05.10.2021вторник,14.3,16.0,прак. занятие,ЗСУ-2911,,Строительство высокоскоростных линий,7,170 (II),проф. Глюзберг Борис Эйнихович
34,05.10.2021вторник,16.1,17.4,прак. занятие,ЗСУ-2911,,Строительство высокоскоростных линий,7,170 (II),проф. Глюзберг Борис Эйнихович
35,06.10.2021среда,9.0,10.3,прак. занятие,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,175 (II),доц. Фазилова Зульфия Тельмановна
36,06.10.2021среда,10.4,12.1,прак. занятие,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,175 (II),доц. Фазилова Зульфия Тельмановна
37,06.10.2021среда,12.2,13.5,прак. занятие,ЗСУ-2911,,Строительство высокоскоростных линий,7,175 (II),проф. Глюзберг Борис Эйнихович
38,06.10.2021среда,14.3,16.0,прак. занятие,ЗСУ-2911,,Строительство высокоскоростных линий,7,175 (II),проф. Глюзберг Борис Эйнихович
39,07.10.2021четверг,9.0,10.3,прак. занятие,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
40,07.10.2021четверг,10.4,12.1,прак. занятие,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
41,07.10.2021четверг,12.2,13.5,прак. занятие,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
42,08.10.2021пятница,9.0,10.3,прак. занятие,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,120 (I),доц. Федосова Анастасия Николаевна
43,08.10.2021пятница,10.4,12.1,прак. занятие,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,120 (I),доц. Федосова Анастасия Николаевна
44,08.10.2021пятница,12.2,13.5,прак. занятие,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,120 (I),доц. Федосова Анастасия Николаевна
45,10.01.2022понедельник,9.45,10.3,консультация,ЗСУ-2911,,Стрелочные переводы,7,170 (II),доц. Королев Вадим Вадимович
46,10.01.2022понедельник,10.4,12.1,лекция,ЗСУ-2911,,Искусственные сооружения на магистралях,7,170 (II),доц. Фазилова Зульфия Тельмановна
47,10.01.2022понедельник,12.2,13.5,лекция,ЗСУ-2911,,Искусственные сооружения на магистралях,7,170 (II),доц. Фазилова Зульфия Тельмановна
48,10.01.2022понедельник,14.3,16.0,выд. зад.,ЗСУ-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,7,170 (II),доц. Артемьева Вера Валентиновна
49,11.01.2022вторник,9.0,10.3,лекция,ЗСУ-2911,,Искусственные сооружения на магистралях,7,170 (II),доц. Фазилова Зульфия Тельмановна
50,11.01.2022вторник,10.4,12.1,прак. занятие,ЗСУ-2911,,Искусственные сооружения на магистралях,7,170 (II),доц. Фазилова Зульфия Тельмановна
51,11.01.2022вторник,12.2,13.5,экзамен,ЗСУ-2911,,Стрелочные переводы,7,170 (II),доц. Королев Вадим Вадимович
52,11.01.2022вторник,14.3,16.0,экзамен,ЗСУ-2911,,Стрелочные переводы,7,170 (II),доц. Королев Вадим Вадимович
53,12.01.2022среда,9.0,10.3,прак. занятие,ЗСУ-2911,,Искусственные сооружения на магистралях,7,170 (II),доц. Фазилова Зульфия Тельмановна
54,12.01.2022среда,10.4,12.1,прак. занятие,ЗСУ-2911,,Искусственные сооружения на магистралях,7,170 (II),доц. Фазилова Зульфия Тельмановна
55,12.01.2022среда,12.2,13.5,диф. зачет,ЗСУ-2911,,Строительство высокоскоростных линий,7,170 (II),доц. Королев Вадим Вадимович
56,12.01.2022среда,14.3,16.0,диф. зачет,ЗСУ-2911,,Строительство высокоскоростных линий,7,170 (II),доц. Королев Вадим Вадимович
57,13.01.2022четверг,9.45,10.3,консультация,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,170 (II),проф. Сычев Вячеслав Петрович
58,13.01.2022четверг,10.4,12.1,защита кур. р.,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,170 (II),проф. Сычев Вячеслав Петрович
59,13.01.2022четверг,12.2,13.5,защита кур. р.,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,170 (II),проф. Сычев Вячеслав Петрович
60,14.01.2022пятница,9.0,10.3,экзамен,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,170 (II),проф. Сычев Вячеслав Петрович
61,14.01.2022пятница,10.4,12.1,экзамен,ЗСУ-2911,,Техническое обслуживание железнодорожного пути,7,170 (II),проф. Сычев Вячеслав Петрович
62,04.04.2022понедельник,10.4,12.1,лекция,ЗСУ-2911,,Планирование ремонта и реконструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
63,04.04.2022понедельник,12.2,13.5,лекция,ЗСУ-2911,,Планирование ремонта и реконструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
64,05.04.2022вторник,9.0,10.3,лекция,ЗСУ-2911,,Планирование ремонта и реконструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
65,05.04.2022вторник,10.4,12.1,прак. занятие,ЗСУ-2911,,Планирование ремонта и реконструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
66,05.04.2022вторник,12.2,13.5,защита кур. р.,ЗСУ-2911,,Особенности работы бесстыкового пути,7,120 (I),проф. Глюзберг Борис Эйнихович
67,05.04.2022вторник,14.3,16.0,защита кур. р.,ЗСУ-2911,,Особенности работы бесстыкового пути,7,120 (I),проф. Глюзберг Борис Эйнихович
68,06.04.2022среда,9.0,10.3,прак. занятие,ЗСУ-2911,,Планирование ремонта и реконструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
69,06.04.2022среда,10.4,12.1,прак. занятие,ЗСУ-2911,,Планирование ремонта и реконструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
70,06.04.2022среда,12.2,13.5,диф. зачет,ЗСУ-2911,,Особенности работы бесстыкового пути,7,120 (I),проф. Глюзберг Борис Эйнихович
71,06.04.2022среда,14.3,16.0,диф. зачет,ЗСУ-2911,,Особенности работы бесстыкового пути,7,120 (I),проф. Глюзберг Борис Эйнихович
72,08.04.2022пятница,14.3,16.0,диф. зачет,ЗСУ-2911,,Искусственные сооружения на магистралях,7,120 (I),доц. Фазилова Зульфия Тельмановна
