№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
113,13.05.2022пятница,10.4,12.1,экзамен,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,124 (III),зав. каф. Аксенов Владимир Алексеевич
114,13.05.2022пятница,12.2,13.05,консультация,,ЗУО-2911-2,Оценка воздействия условий труда на здоровье сотрудников,13,124 (III),доц. Голышева Галина Васильевна
115,13.05.2022пятница,12.2,13.5,защита кур. р.,,ЗУО-2911-1,Специальная оценка условий труда,14,106 (III),доц. Киселева Екатерина Александровна
116,13.05.2022пятница,14.3,16.0,защита кур. р.,,ЗУО-2911-1,Специальная оценка условий труда,14,106 (III),доц. Киселева Екатерина Александровна
117,13.05.2022пятница,16.1,16.55,консультация,,ЗУО-2911-1,Специальная оценка условий труда,14,106 (III),доц. Киселева Екатерина Александровна
118,14.05.2022суббота,9.0,10.3,экзамен,,ЗУО-2911-2,Методы анализа и оценки риска в системах управления охраной труда,13,124 (III),проф. Завьялов Антон Михайлович
119,14.05.2022суббота,10.4,12.1,экзамен,,ЗУО-2911-2,Методы анализа и оценки риска в системах управления охраной труда,13,124 (III),проф. Завьялов Антон Михайлович
120,14.05.2022суббота,12.2,13.5,диф. зачет,ЗУО-2911,,Научно-исследовательская работа,27,105 (III),доц. Климова Диана Викторовна
121,14.05.2022суббота,14.3,16.0,диф. зачет,ЗУО-2911,,Научно-исследовательская работа,27,105 (III),доц. Климова Диана Викторовна
122,16.05.2022понедельник,9.0,10.3,защита кур. р.,,ЗУО-2911-2,Оценка воздействия условий труда на здоровье сотрудников,13,106 (III),доц. Голышева Галина Васильевна
123,16.05.2022понедельник,9.0,10.3,защита кур. р.,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,105 (III),доц. Климова Диана Викторовна
124,16.05.2022понедельник,10.4,12.1,защита кур. р.,,ЗУО-2911-2,Оценка воздействия условий труда на здоровье сотрудников,13,106 (III),доц. Голышева Галина Васильевна
125,16.05.2022понедельник,10.4,12.1,защита кур. р.,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,105 (III),доц. Климова Диана Викторовна
126,16.05.2022понедельник,12.2,13.5,экзамен,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,106 (III),проф. Завьялов Антон Михайлович
127,16.05.2022понедельник,14.3,16.0,экзамен,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,106 (III),проф. Завьялов Антон Михайлович
128,17.05.2022вторник,9.0,10.3,диф. зачет,ЗУО-2911,,"Управление персоналом (HR), система подготовки кадров и обучения по охране труда",27,106 (III),проф. Сачкова Оксана Сергеевна
129,17.05.2022вторник,10.4,12.1,диф. зачет,ЗУО-2911,,"Управление персоналом (HR), система подготовки кадров и обучения по охране труда",27,106 (III),проф. Сачкова Оксана Сергеевна
130,17.05.2022вторник,12.2,13.5,диф. зачет,,ЗУО-2911-2,Экспертиза вредных и опасных факторов производства,13,124 (III),проф. Сачкова Оксана Сергеевна
131,17.05.2022вторник,12.2,13.5,экзамен,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,104 (III),доц. Климова Диана Викторовна
132,17.05.2022вторник,14.3,16.0,диф. зачет,,ЗУО-2911-2,Экспертиза вредных и опасных факторов производства,13,124 (III),проф. Сачкова Оксана Сергеевна
133,17.05.2022вторник,14.3,16.0,экзамен,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,104 (III),доц. Климова Диана Викторовна
134,18.05.2022среда,9.0,10.3,экзамен,,ЗУО-2911-2,Оценка воздействия условий труда на здоровье сотрудников,13,106 (III),доц. Голышева Галина Васильевна
135,18.05.2022среда,9.0,10.3,экзамен,,ЗУО-2911-1,Специальная оценка условий труда,14,124 (III),доц. Киселева Екатерина Александровна
136,18.05.2022среда,10.4,12.1,экзамен,,ЗУО-2911-2,Оценка воздействия условий труда на здоровье сотрудников,13,106 (III),доц. Голышева Галина Васильевна
137,18.05.2022среда,10.4,12.1,экзамен,,ЗУО-2911-1,Специальная оценка условий труда,14,124 (III),доц. Киселева Екатерина Александровна
138,18.05.2022среда,12.2,13.05,выд. зад.,ЗУО-2911,,Организационно-управленческая практика,27,105 (III),доц. Киселева Екатерина Александровна
1,12.10.2021вторник,12.2,13.5,выд. зад.,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
2,03.12.2021пятница,9.0,10.3,диф. зачет,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
3,03.12.2021пятница,10.4,12.1,диф. зачет,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
4,03.12.2021пятница,12.2,13.5,диф. зачет,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
1,12.10.2021вторник,12.2,13.5,выд. зад.,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
2,03.12.2021пятница,9.0,10.3,диф. зачет,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
3,03.12.2021пятница,10.4,12.1,диф. зачет,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
4,03.12.2021пятница,12.2,13.5,диф. зачет,"ЗУО-3911, ЗУО-3912",,Преддипломная практика,33,105 (III),доц. Климова Диана Викторовна
1,29.11.2021понедельник,9.0,10.3,прак. занятие,ЗБС-1911,,Иностранный язык (английский),13,337 (I),доц. Нестеренко Юлия Анатольевна
2,29.11.2021понедельник,10.4,12.1,прак. занятие,ЗБС-1911,,Иностранный язык (английский),13,337 (I),доц. Нестеренко Юлия Анатольевна
3,29.11.2021понедельник,12.2,13.5,прак. занятие,ЗБС-1911,,Иностранный язык (английский),13,337 (I),доц. Нестеренко Юлия Анатольевна
4,29.11.2021понедельник,14.3,16.0,прак. занятие,ЗБС-1911,,Иностранный язык (английский),13,337 (I),доц. Нестеренко Юлия Анатольевна
5,29.11.2021понедельник,16.1,17.4,орг. собрание,ЗБС-1911,,Выполнение и защита выпускной квалификационной работы,13,105 (III),зав. каф. Аксенов Владимир Алексеевич
