№ п/п,Наименование,Адрес,"Площадь, кв.м.",Год,Категория,Статья расходов,Источник,"Расходы, руб."
24,Здание проходной,"129626, г. Москва, р-н Алексеевский,Кучин пер., д. 14,стр. 4",17.5,2020,Иное,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
24,Здание проходной,"129626, г. Москва, р-н Алексеевский,Кучин пер., д. 14,стр. 4",17.5,2020,Иное,"Охрана и ТО, пожарная сигнализация ", внебюджет,1298.8675241043077
24,Здание проходной,"129626, г. Москва, р-н Алексеевский,Кучин пер., д. 14,стр. 4",17.5,2020,Иное,Вывоз мусора , бюджет,97.41244708416714
24,Здание проходной,"129626, г. Москва, р-н Алексеевский,Кучин пер., д. 14,стр. 4",17.5,2020,Иное,Вывоз мусора , внебюджет,104.6209681683955
24,Здание проходной,"129626, г. Москва, р-н Алексеевский,Кучин пер., д. 14,стр. 4",17.5,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
24,Здание проходной,"129626, г. Москва, р-н Алексеевский,Кучин пер., д. 14,стр. 4",17.5,2020,Иное,Дератизация и дезинфекция , внебюджет,24.547936665210123
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,"Охрана и ТО, пожарная сигнализация ", внебюджет,7050.995130851967
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,Вывоз мусора , бюджет,528.8104270283359
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,Вывоз мусора , внебюджет,567.9423986284327
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,Дератизация и дезинфекция , внебюджет,133.26022761114066
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
25,Здание гаража,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 6",95.0,2020,Иное,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,3272.7272727272725
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Вывоз мусора , бюджет,23109.572303693047
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Вывоз мусора , внебюджет,24819.68065416633
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Уборка , бюджет,0.0
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Уборка , внебюджет,249914.0781150798
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Дератизация и дезинфекция , бюджет,0.0
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Дератизация и дезинфекция , внебюджет,5823.612220530648
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,3272.7272727272725
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,"Очистка от снега,наледи и сосулек ", бюджет,18683.998334839733
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,"Очистка от снега,наледи и сосулек ", внебюджет,2024.0998196076375
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Подготовка к зиме , бюджет,11756.077531891999
26,Здание учебного корпуса ,"127635, г. Москва, р-н Западное Дегунино, ул. Талдомская, д. 5",4151.6,2020,Учебные корпуса,Подготовка к зиме , внебюджет,258045.90182502937
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Вывоз мусора , бюджет,562.7656228691027
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Вывоз мусора , внебюджет,604.4102789614162
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Уборка , бюджет,0.0
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Уборка , внебюджет,6085.921884920167
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Дератизация и дезинфекция , внебюджет,141.8169369630139
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,3272.7272727272725
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Подготовка к зиме , бюджет,286.2846706027269
27,Здание ТП,"127635, г. Москва, ул. Талдомская, д. 5 стр. 2",101.1,2020,Иное,Подготовка к зиме , внебюджет,6283.948519729856
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"Охрана и ТО, пожарная сигнализация ", бюджет,286709.2733093037
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"Охрана и ТО, пожарная сигнализация ", внебюджет,151629.1126386787
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,Вывоз мусора , бюджет,94323.37
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,Вывоз мусора , внебюджет,0.0
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,Дератизация и дезинфекция , бюджет,7450.0
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,Дератизация и дезинфекция , внебюджет,2660.0
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"ТО вентиляции, системы дымоудаления ", бюджет,0.0
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"ТО вентиляции, системы дымоудаления ", внебюджет,60000.0
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,3272.7272727272725
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", бюджет,7081.013450109477
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", внебюджет,3034.720050046919
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,ТО инженерных сетей , бюджет,23184.26736517436
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,ТО инженерных сетей , внебюджет,24389.466458643357
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,5179.755332344284
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,Подготовка к зиме , бюджет,87822.1301825425
28,Здание общежития,"127635, г. Москва, р-н Западное Дегунино, ул. Новая, д. 4",1239.3,2020,общежития,Подготовка к зиме , внебюджет,35809.25010063256
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", бюджет,182207.169944754
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", внебюджет,1581367.1971666953
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Вывоз мусора , бюджет,62529.884747159034
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Вывоз мусора , внебюджет,67157.0962184488
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Уборка , бюджет,0.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Уборка , внебюджет,85643.74088692831
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Дератизация и дезинфекция , бюджет,0.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Дератизация и дезинфекция , внебюджет,27379.340956284097
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"ТО вентиляции, системы дымоудаления ", бюджет,0.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"ТО вентиляции, системы дымоудаления ", внебюджет,41000.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,6545.454545454545
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Очистка от снега,наледи и сосулек ", бюджет,50555.16593472122
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Очистка от снега,наледи и сосулек ", внебюджет,5476.809642928132
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", бюджет,60814.21997654065
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", внебюджет,29298.91292711648
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,7010.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Ремонт , бюджет,0.0
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Ремонт , внебюджет,1143540.0584762811
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Подготовка к зиме , бюджет,31809.596624615948
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Подготовка к зиме , внебюджет,698220.6459103201
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Огнезащитная обработка , бюджет,125231.77956819121
29,Здание учебного корпуса,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 1",11233.4,2020,Учебные корпуса,Огнезащитная обработка , внебюджет,0.0
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", внебюджет,20539.66194098551
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Вывоз мусора , бюджет,1313.1197866945731
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Вывоз мусора , внебюджет,1410.2906509099714
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Дератизация и дезинфекция , бюджет,0.0
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Дератизация и дезинфекция , внебюджет,330.90618624703245
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,3272.7272727272725
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,7010.0
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Ремонт , бюджет,0.0
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Ремонт , внебюджет,24014.198710502136
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Подготовка к зиме , бюджет,667.9975647396961
30,Здание учебной мастерской (строение №2),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 2",235.9,2020,Учебные корпуса,Подготовка к зиме , внебюджет,14662.546546036332
31,Строение бойлерной (стр. 3),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 3",173.4,2020,Иное,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
31,Строение бойлерной (стр. 3),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 3",173.4,2020,Иное,"Охрана и ТО, пожарная сигнализация ", внебюджет,15097.826962979596
31,Строение бойлерной (стр. 3),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 3",173.4,2020,Иное,Вывоз мусора , бюджет,965.2181899654048
31,Строение бойлерной (стр. 3),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 3",173.4,2020,Иное,Вывоз мусора , внебюджет,1036.6443360228448
31,Строение бойлерной (стр. 3),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 3",173.4,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
31,Строение бойлерной (стр. 3),"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 3",173.4,2020,Иное,Дератизация и дезинфекция , внебюджет,243.23498387128203
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"Охрана и ТО, пожарная сигнализация ", бюджет,31969.86949286152
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"Охрана и ТО, пожарная сигнализация ", внебюджет,350225.1920864169
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Вывоз мусора , бюджет,10971.424754451054
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Вывоз мусора , внебюджет,11783.310186280432
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Уборка , бюджет,0.0
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Уборка , внебюджет,8386.803675080435
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Дератизация и дезинфекция , бюджет,0.0
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Дератизация и дезинфекция , внебюджет,2764.7990381216655
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,6545.454545454545
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"Очистка от снега,наледи и сосулек ", бюджет,8870.353771550512
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"Очистка от снега,наледи и сосулек ", внебюджет,960.954991917972
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", бюджет,10670.396102138411
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", внебюджет,5140.755014452133
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Подготовка к зиме , бюджет,5581.2768126407
32,Здание общежития,"109382, г. Москва, р-н Люблино, ул. Люблинская, д. 88, стр. 4",1971.0,2020,общежития,Подготовка к зиме , внебюджет,122509.02603746337
33,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 6",126.6,2020,Иное,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
33,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 6",126.6,2020,Иное,"Охрана и ТО, пожарная сигнализация ", внебюджет,11022.980931448788
33,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 6",126.6,2020,Иное,Вывоз мусора , бюджет,704.7094743346033
33,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 6",126.6,2020,Иное,Вывоз мусора , внебюджет,756.857975435364
33,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 6",126.6,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
33,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 6",126.6,2020,Иное,Дератизация и дезинфекция , внебюджет,177.58678753232007
34,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 10",71.0,2020,Иное,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
34,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 10",71.0,2020,Иное,"Охрана и ТО, пожарная сигнализация ", внебюджет,6181.92453501471
34,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 10",71.0,2020,Иное,Вывоз мусора , бюджет,395.2162138843353
34,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 10",71.0,2020,Иное,Вывоз мусора , внебюджет,424.4622137117761
34,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 10",71.0,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
34,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 10",71.0,2020,Иное,Дератизация и дезинфекция , внебюджет,99.5944858988525
35,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 11",34.7,2020,Иное,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
35,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 11",34.7,2020,Иное,"Охрана и ТО, пожарная сигнализация ", внебюджет,3021.30677978887
35,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 11",34.7,2020,Иное,Вывоз мусора , бюджет,193.1549665040343
35,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 11",34.7,2020,Иное,Вывоз мусора , внебюджет,207.44843402533283
35,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 11",34.7,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
35,Здание сарая,"г. Москва, ул. Люблинская, д. 88, стр. 11",34.7,2020,Иное,Дератизация и дезинфекция , внебюджет,48.675051559016644
36,Здание сарая,"109382, г. Москва, ул. Люблинская, д. 88, стр. 13",97.0,2020,Иное,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
36,Здание сарая,"109382, г. Москва, ул. Люблинская, д. 88, стр. 13",97.0,2020,Иное,"Охрана и ТО, пожарная сигнализация ", внебюджет,8445.727885865164
36,Здание сарая,"109382, г. Москва, ул. Люблинская, д. 88, стр. 13",97.0,2020,Иное,Вывоз мусора , бюджет,539.9432781236693
36,Здание сарая,"109382, г. Москва, ул. Люблинская, д. 88, стр. 13",97.0,2020,Иное,Вывоз мусора , внебюджет,579.8990807048208
36,Здание сарая,"109382, г. Москва, ул. Люблинская, д. 88, стр. 13",97.0,2020,Иное,Дератизация и дезинфекция , бюджет,0.0
36,Здание сарая,"109382, г. Москва, ул. Люблинская, д. 88, стр. 13",97.0,2020,Иное,Дератизация и дезинфекция , внебюджет,136.06570608716467
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,"Охрана и ТО, пожарная сигнализация ", бюджет,456458.5567010309
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,"Охрана и ТО, пожарная сигнализация ", внебюджет,1237103.556701031
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,Уборка , бюджет,86756.3641675255
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,Уборка , внебюджет,385256.3641675255
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,Дератизация и дезинфекция , бюджет,5970.0
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,Дератизация и дезинфекция , внебюджет,2130.0
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,3272.7272727272725
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", бюджет,5110.416015014075
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", внебюджет,2190.1782921488893
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,ТО инженерных сетей , бюджет,18181.86835488819
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,ТО инженерных сетей , внебюджет,189305.0252974707
37,"Здание общежития ""Лось""","129347, г. Москва, р-н Ярославский, ул. Палехская, д. 145",971.9,2020,общежития,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
