№ п/п,Наименование,Адрес,"Площадь, кв.м.",Год,Категория,Статья расходов,Источник,"Расходы, руб."
8,Здание общежития № 3 (Здание спальный корпус № 3),"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1909.4,2020,балласт,Вывоз мусора , бюджет,0.0
8,Здание общежития № 3 (Здание спальный корпус № 3),"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1909.4,2020,балласт,Вывоз мусора , внебюджет,3656.731307832871
8,Здание общежития № 3 (Здание спальный корпус № 3),"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1909.4,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
8,Здание общежития № 3 (Здание спальный корпус № 3),"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1909.4,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,798.6214223274374
8,Здание общежития № 3 (Здание спальный корпус № 3),"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1909.4,2020,балласт,Подготовка к зиме , бюджет,63232.085934114075
8,Здание общежития № 3 (Здание спальный корпус № 3),"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1909.4,2020,балласт,Подготовка к зиме , внебюджет,40542.30580121855
9,Здание башни (пожарная вышка),"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",161.2,2020,балласт,Вывоз мусора , бюджет,0.0
9,Здание башни (пожарная вышка),"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",161.2,2020,балласт,Вывоз мусора , внебюджет,308.71744360671346
9,Здание башни (пожарная вышка),"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",161.2,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
9,Здание башни (пожарная вышка),"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",161.2,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,67.42315558771492
9,Здание башни (пожарная вышка),"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",161.2,2020,балласт,Подготовка к зиме , бюджет,5338.3325927407495
9,Здание башни (пожарная вышка),"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",161.2,2020,балласт,Подготовка к зиме , внебюджет,3422.7609171239287
10,Здание санитарного узла дворового,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",32.2,2020,балласт,Вывоз мусора , бюджет,0.0
10,Здание санитарного узла дворового,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",32.2,2020,балласт,Вывоз мусора , внебюджет,61.666883896626395
10,Здание санитарного узла дворового,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",32.2,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
10,Здание санитарного узла дворового,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",32.2,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,13.46790080598276
10,Здание санитарного узла дворового,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",32.2,2020,балласт,Подготовка к зиме , бюджет,1066.3418702621102
10,Здание санитарного узла дворового,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",32.2,2020,балласт,Подготовка к зиме , внебюджет,683.7028630979561
11,Здание столярной мастерской,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",67.1,2020,балласт,Вывоз мусора , бюджет,0.0
11,Здание столярной мастерской,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",67.1,2020,балласт,Вывоз мусора , внебюджет,128.50459346160343
11,Здание столярной мастерской,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",67.1,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
11,Здание столярной мастерской,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",67.1,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,28.06509764228084
11,Здание столярной мастерской,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",67.1,2020,балласт,Подготовка к зиме , бюджет,2222.0974998319125
